origem,destino,tipo,peso_sugerido,numero_issue
yonaskolb,ThalesAndrades,pr,2,1583
yonaskolb,JamesCCoder,pr,2,1568
georgenavarro,snake302,issue,2,1562
yonaskolb,snake302,issue,2,1562
anivaros,jakobfelsatdm,issue,2,1561
anivaros,jakobfelsatdm,issue,2,1561
goergisn,jakobfelsatdm,issue,2,1561
anivaros,jakobfelsatdm,issue,2,1561
jgert,jakobfelsatdm,issue,2,1561
yonaskolb,jakobfelsatdm,issue,2,1561
anivaros,jakobfelsatdm,issue,2,1561
yonaskolb,jakobfelsatdm,issue,2,1561
anivaros,jakobfelsatdm,issue,2,1561
giginet,Ryu0118,pr,2,1547
yonaskolb,Ryu0118,pr,2,1547
yonaskolb,RomanPodymov,pr,2,1546
esnssr,yonaskolb,pr,2,1541
esnssr,yonaskolb,pr,2,1541
carlosefonseca,yonaskolb,pr,2,1541
noefroidevaux,yonaskolb,pr,2,1541
mredig,yonaskolb,pr,2,1541
s2mr,yonaskolb,pr,2,1541
clausjoergensen,yonaskolb,pr,2,1541
yonaskolb,leefah12,issue,2,1518
yonaskolb,marcosgriselli,pr,2,1517
yonaskolb,marcosgriselli,pr,2,1515
yonaskolb,marcosgriselli,pr,2,1515
yonaskolb,marcosgriselli,pr,2,1514
Dahlgren,ikesyo,issue,2,1509
yonaskolb,PlagsiOS,issue,2,1506
yonaskolb,PlagsiOS,issue,2,1506
erneestoc,CraigSiemens,issue,2,1505
bartosz-pawelczyk,CraigSiemens,issue,2,1505
piotrsmajek,CraigSiemens,issue,2,1505
esnssr,CraigSiemens,issue,2,1505
funclosure,CraigSiemens,issue,2,1505
yonaskolb,CraigSiemens,issue,2,1505
r0texx,CraigSiemens,issue,2,1505
esnssr,CraigSiemens,issue,2,1505
yonaskolb,CraigSiemens,issue,2,1505
noefroidevaux,CraigSiemens,issue,2,1505
yonaskolb,CraigSiemens,issue,2,1505
CraigSiemens,vicajilau,issue,2,1504
yonaskolb,vicajilau,issue,2,1504
bpisano,michaello,issue,2,1503
yonaskolb,michaello,issue,2,1503
yonaskolb,mokagio,pr,2,1499
yonaskolb,0111b,pr,2,1489
giginet,ozumin,pr,2,1487
yonaskolb,giginet,issue,2,1483
fedorinovdmitry,pafdad,issue,2,1469
yonaskolb,kinnarr,pr,2,1465
yonaskolb,raptorxcz,issue,2,1462
yonaskolb,arisupriatna14,issue,2,1459
nhelke,arisupriatna14,issue,2,1459
DeclanMcPartlin,arisupriatna14,issue,2,1459
yonaskolb,arisupriatna14,issue,2,1459
pixlwave,arisupriatna14,issue,2,1459
yonaskolb,arisupriatna14,issue,2,1459
yonaskolb,arisupriatna14,issue,2,1459
nhelke,arisupriatna14,issue,2,1459
psykologist90,arisupriatna14,issue,2,1459
mcomisso,arisupriatna14,issue,2,1459
yonaskolb,rsarv3006,issue,2,1458
kovs705,rsarv3006,issue,2,1458
yonaskolb,Snikss,issue,2,1457
yonaskolb,Snikss,issue,2,1457
yonaskolb,rex-structorum,issue,2,1455
yonaskolb,rex-structorum,issue,2,1455
yonaskolb,tylermilner,pr,2,1452
yonaskolb,vakhidbetrakhmadov,pr,2,1451
vskyba,vakhidbetrakhmadov,pr,2,1450
murtaza64,vakhidbetrakhmadov,pr,2,1450
freddi-kit,persidskiy,issue,2,1445
freddi-kit,persidskiy,issue,2,1445
OdNairy,persidskiy,issue,2,1445
freddi-kit,persidskiy,issue,2,1445
freddi-kit,persidskiy,issue,2,1445
freddi-kit,persidskiy,issue,2,1445
kkebo,persidskiy,issue,2,1445
daltonclaybrook,persidskiy,issue,2,1445
kkebo,persidskiy,issue,2,1445
daltonclaybrook,persidskiy,issue,2,1445
kkebo,persidskiy,issue,2,1445
yonaskolb,persidskiy,issue,2,1445
freddi-kit,persidskiy,issue,2,1445
freddi-kit,persidskiy,issue,2,1445
freddi-kit,persidskiy,issue,2,1445
giginet,VaslD,issue,2,1441
zewuchen,VaslD,issue,2,1441
yonaskolb,417-72KI,issue,2,1440
yonaskolb,Lutzifer,pr,2,1439
benadamdev,kekearif,issue,2,1437
yonaskolb,kekearif,issue,2,1437
yonaskolb,Faridka0,issue,2,1436
yonaskolb,Faridka0,issue,2,1436
yonaskolb,Faridka0,issue,2,1436
yonaskolb,rmtkcjs,pr,2,1434
pafdad,webtocom,issue,2,1433
tejuamirthi,Simimi-dot,issue,2,1431
yonaskolb,Simimi-dot,issue,2,1431
yonaskolb,balazs-vimn,pr,2,1430
yonaskolb,Simimi-dot,issue,2,1426
yonaskolb,Simimi-dot,issue,2,1426
Simimi-dot,sborovikov-belkacar,issue,2,1420
yonaskolb,sborovikov-belkacar,issue,2,1420
yonaskolb,kiddten,pr,2,1418
yonaskolb,kiddten,pr,2,1418
vvisionnn,JaapManenschijn,pr,2,1417
yonaskolb,coffmark,pr,2,1415
yonaskolb,hiltonc,pr,2,1413
OmranK,hiltonc,pr,2,1413
yonaskolb,arkonxu,pr,2,1410
freddi-kit,cdoky,issue,2,1403
yonaskolb,Cretus-iosDev,pr,2,1402
yonaskolb,Cretus-iosDev,pr,2,1402
vicajilau,razor313,issue,2,1399
rmnli,razor313,issue,2,1399
yonaskolb,aaron-foreflight,issue,2,1397
clausjoergensen,yarneo,issue,2,1396
giovannitrezzi,yarneo,issue,2,1396
yonaskolb,yarneo,issue,2,1396
yonaskolb,yarneo,issue,2,1396
yonaskolb,simonbs,pr,2,1395
yonaskolb,clausjoergensen,issue,2,1389
BarredEwe,clausjoergensen,issue,2,1389
BarredEwe,clausjoergensen,issue,2,1389
rmnli,freddi-kit,pr,2,1388
mat1th,freddi-kit,pr,2,1388
kkebo,freddi-kit,pr,2,1388
yonaskolb,vincentisambart,issue,2,1386
yonaskolb,vincentisambart,issue,2,1386
yonaskolb,kaseken,pr,2,1382
yonaskolb,bagipro,issue,2,1381
freddi-kit,shiba1014,pr,2,1379
Dahlgren,shiba1014,pr,2,1379
yanniks,BarredEwe,pr,2,1374
yonaskolb,BarredEwe,pr,2,1374
OmranK,BarredEwe,pr,2,1374
OmranK,BarredEwe,pr,2,1374
yonaskolb,shen-square,issue,2,1373
theCodingDJ,shen-square,issue,2,1373
yonaskolb,shen-square,issue,2,1373
LyuboFromTryzens,shen-square,issue,2,1373
yonaskolb,shen-square,issue,2,1373
yonaskolb,mthole,pr,2,1366
yonaskolb,pedroramos1449,issue,2,1365
jsorge,pedroramos1449,issue,2,1365
jsorge,pedroramos1449,issue,2,1365
jsorge,pedroramos1449,issue,2,1365
jsorge,pedroramos1449,issue,2,1365
yonaskolb,KacperCzapp,issue,2,1362
yonaskolb,OmranK,issue,2,1356
antonyalkmim,OdNairy,pr,2,1354
liamnichols,OdNairy,pr,2,1354
liamnichols,OdNairy,pr,2,1354
yonaskolb,OdNairy,pr,2,1354
teameh,mat1th,pr,2,1351
teameh,mat1th,pr,2,1351
yonaskolb,avkin88,issue,2,1350
krishsatya,Adobels,issue,2,1349
kaienkira,Adobels,issue,2,1349
joristimmerman,Adobels,issue,2,1349
razor313,Adobels,issue,2,1349
yonaskolb,Adobels,issue,2,1349
yonaskolb,dungi,issue,2,1347
yonaskolb,shnhrrsn,pr,2,1337
yonaskolb,amatig,pr,2,1336
bdrelling,amatig,pr,2,1336
FelixLisczyk,amatig,pr,2,1336
FelixLisczyk,amatig,pr,2,1336
yonaskolb,aquintiliano-encora,issue,2,1331
yonaskolb,dungi,issue,2,1330
yonaskolb,qwn3,issue,2,1319
yonaskolb,DanielSincere,issue,2,1318
yonaskolb,Iron-Ham,pr,2,1317
yonaskolb,mathieuavo,issue,2,1312
amatig,codebendr-product-designer,issue,2,1306
nishchal-v,dungi,issue,2,1300
PaulOmta-TomTom,FelixLisczyk,issue,2,1299
yonaskolb,FelixLisczyk,issue,2,1299
CraigSiemens,FelixLisczyk,issue,2,1299
grigorye,FelixLisczyk,issue,2,1299
grigorye,FelixLisczyk,issue,2,1299
yonaskolb,FelixLisczyk,issue,2,1299
