origem,destino,peso_sugerido,numero_issue
yonaskolb,CraigSiemens,3,1564
yonaskolb,jakobfelsatdm,3,1561
yonaskolb,RomanPodymov,3,1545
yonaskolb,leefah12,3,1518
yonaskolb,CraigSiemens,3,1505
yonaskolb,juri,3,1497
yonaskolb,0111b,3,1490
yonaskolb,giginet,3,1483
yonaskolb,raptorxcz,3,1462
yonaskolb,arisupriatna14,3,1459
yonaskolb,rsarv3006,3,1458
yonaskolb,Snikss,3,1457
yonaskolb,rex-structorum,3,1455
yonaskolb,persidskiy,3,1445
yonaskolb,vakhidbetrakhmadov,3,1443
yonaskolb,VaslD,3,1441
yonaskolb,417-72KI,3,1440
yonaskolb,kekearif,3,1437
yonaskolb,Faridka0,3,1436
yonaskolb,webtocom,3,1433
yonaskolb,Simimi-dot,3,1431
yonaskolb,Simimi-dot,3,1426
yonaskolb,sborovikov-belkacar,3,1420
yonaskolb,aaron-foreflight,3,1397
yonaskolb,yarneo,3,1396
yonaskolb,vincentisambart,3,1386
yonaskolb,bagipro,3,1381
yonaskolb,shen-square,3,1373
yonaskolb,victorwads,3,1369
yonaskolb,KacperCzapp,3,1362
yonaskolb,Adobels,3,1349
yonaskolb,ghost,3,1339
yonaskolb,amatig,3,1333
yonaskolb,aquintiliano-encora,3,1331
yonaskolb,DanielSincere,3,1318
yonaskolb,Iron-Ham,3,1315
yonaskolb,technocidal,3,1290
yonaskolb,nico-dkd,3,1269
yonaskolb,clausjoergensen,3,1238
yonaskolb,antonsergeev88,3,1236
yonaskolb,SSheldon,3,1226
yonaskolb,freddi-kit,3,1224
yonaskolb,skofgar,3,1215
yonaskolb,bonkey,3,1212
yonaskolb,MartinP7r,3,1209
yonaskolb,tr1ckyf0x,3,1207
yonaskolb,dehlen,3,1192
yonaskolb,hakkurishian,3,1190
yonaskolb,brandtdaniels,3,1182
yonaskolb,tr1ckyf0x,3,1177
yonaskolb,mattrobmattrob,3,1172
yonaskolb,KrisRJack,3,1150
yonaskolb,brandtdaniels,3,1133
yonaskolb,WesleyJacobsMP,3,1132
yonaskolb,shuguenot,3,1127
yonaskolb,adamawolf,3,1114
yonaskolb,namolnad,3,1111
yonaskolb,Attiv,3,1095
yonaskolb,jakubkiermasz-zd,3,1093
yonaskolb,brevansio,3,1089
yonaskolb,DavidWoohyunLee,3,1077
yonaskolb,multitudes,3,1071
yonaskolb,4brunu,3,1061
yonaskolb,simonpierreroy,3,1060
yonaskolb,mrtsamma,3,1055
yonaskolb,brandtdaniels,3,1053
yonaskolb,BeerPoldet,3,1050
freddi-kit,d-date,3,1048
yonaskolb,tinder-maxwellelliott,3,1047
yonaskolb,takoikatakotako,3,1045
yonaskolb,mariohahn,3,1044
yonaskolb,ck2shine,3,1042
yonaskolb,JakubBednar,3,1038
yonaskolb,liamnichols,3,1025
yonaskolb,pouty18,3,1005
yonaskolb,daltonclaybrook,3,1002
yonaskolb,thii,3,994
yonaskolb,jcolicchio,3,980
yonaskolb,jcolicchio,3,979
yonaskolb,stefanomondino,3,975
brentleyjones,liambutler-lawrence,3,969
yonaskolb,liamnichols,3,954
yonaskolb,AlexRamallo,3,949
yonaskolb,zjkuang,3,947
yonaskolb,gemmakbarlow,3,944
yonaskolb,steven-diaz,3,941
yonaskolb,tokizuoh,3,927
yonaskolb,jsorge,3,906
keith,kastiglione,3,903
keith,segiddins,3,889
yonaskolb,helbertgs,3,867
yonaskolb,jcolicchio,3,833
brentleyjones,asifmohd,3,825
yonaskolb,TheCoordinator,3,821
yonaskolb,evandcoleman,3,816
yonaskolb,angelmic,3,795
yonaskolb,myihsan,3,789
yonaskolb,nvapp360,3,786
yonaskolb,alexruperez,3,784
yonaskolb,mbuchetics,3,770
yonaskolb,kkoudev,3,769
yonaskolb,TheCoordinator,3,766
yonaskolb,nvapp360,3,764
yonaskolb,mrtsamma,3,761
