origem,destino,acao,peso_sugerido,numero_pr
yonaskolb,georgenavarro,MERGE,5,1570
yonaskolb,georgenavarro,APPROVED,4,1570
yonaskolb,CraigSiemens,MERGE,5,1565
yonaskolb,CraigSiemens,APPROVED,4,1565
yonaskolb,jakobfelsatdm,MERGE,5,1563
yonaskolb,jakobfelsatdm,APPROVED,4,1563
yonaskolb,KostyaSha,MERGE,5,1559
yonaskolb,KostyaSha,COMMENTED,4,1559
yonaskolb,KostyaSha,COMMENTED,4,1559
yonaskolb,KostyaSha,APPROVED,4,1559
yonaskolb,kirillyakimovich,MERGE,5,1557
yonaskolb,kirillyakimovich,APPROVED,4,1557
yonaskolb,hi-kumar,MERGE,5,1550
yonaskolb,hi-kumar,APPROVED,4,1550
freddi-kit,giginet,APPROVED,4,1548
yonaskolb,giginet,APPROVED,4,1548
yonaskolb,Ryu0118,MERGE,5,1547
giginet,Ryu0118,COMMENTED,4,1547
freddi-kit,Ryu0118,COMMENTED,4,1547
freddi-kit,Ryu0118,COMMENTED,4,1547
freddi-kit,Ryu0118,COMMENTED,4,1547
freddi-kit,Ryu0118,COMMENTED,4,1547
giginet,Ryu0118,COMMENTED,4,1547
giginet,Ryu0118,APPROVED,4,1547
freddi-kit,Ryu0118,APPROVED,4,1547
giginet,Ryu0118,COMMENTED,4,1547
giginet,Ryu0118,COMMENTED,4,1547
giginet,Ryu0118,COMMENTED,4,1547
giginet,Ryu0118,APPROVED,4,1547
freddi-kit,Ryu0118,APPROVED,4,1547
yonaskolb,Ryu0118,APPROVED,4,1547
yonaskolb,RomanPodymov,MERGE,5,1546
yonaskolb,RomanPodymov,COMMENTED,4,1546
yonaskolb,RomanPodymov,APPROVED,4,1546
yonaskolb,georgenavarro,MERGE,5,1543
yonaskolb,georgenavarro,COMMENTED,4,1543
yonaskolb,georgenavarro,COMMENTED,4,1543
yonaskolb,georgenavarro,APPROVED,4,1543
kirillyakimovich,yonaskolb,COMMENTED,4,1541
kirillyakimovich,yonaskolb,COMMENTED,4,1541
kirillyakimovich,yonaskolb,COMMENTED,4,1541
yonaskolb,shnhrrsn,MERGE,5,1534
yonaskolb,shnhrrsn,APPROVED,4,1534
yonaskolb,iljaiwas,MERGE,5,1531
yonaskolb,iljaiwas,APPROVED,4,1531
yonaskolb,SSheldon,MERGE,5,1529
yonaskolb,SSheldon,APPROVED,4,1529
yonaskolb,zewuchen,MERGE,5,1522
yonaskolb,zewuchen,APPROVED,4,1522
yonaskolb,dalemyers,MERGE,5,1519
yonaskolb,dalemyers,APPROVED,4,1519
yonaskolb,marcosgriselli,MERGE,5,1517
yonaskolb,marcosgriselli,APPROVED,4,1517
yonaskolb,marcosgriselli,MERGE,5,1515
yonaskolb,marcosgriselli,MERGE,5,1513
yonaskolb,marcosgriselli,APPROVED,4,1513
yonaskolb,maximkrouk,MERGE,5,1512
yonaskolb,maximkrouk,APPROVED,4,1512
yonaskolb,simonbs,MERGE,5,1500
yonaskolb,simonbs,APPROVED,4,1500
yonaskolb,mokagio,MERGE,5,1499
yonaskolb,mokagio,APPROVED,4,1499
yonaskolb,juri,MERGE,5,1498
yonaskolb,juri,COMMENTED,4,1498
yonaskolb,juri,COMMENTED,4,1498
yonaskolb,juri,APPROVED,4,1498
yonaskolb,giginet,MERGE,5,1493
freddi-kit,giginet,COMMENTED,4,1492
yonaskolb,0111b,MERGE,5,1489
yonaskolb,0111b,COMMENTED,4,1489
yonaskolb,0111b,APPROVED,4,1489
giginet,ozumin,MERGE,5,1487
giginet,ozumin,APPROVED,4,1487
yonaskolb,Lutzifer,MERGE,5,1486
yonaskolb,Lutzifer,APPROVED,4,1486
yonaskolb,giginet,MERGE,5,1485
yonaskolb,giginet,APPROVED,4,1485
freddi-kit,giginet,APPROVED,4,1485
yonaskolb,Lutzifer,MERGE,5,1472
yonaskolb,Lutzifer,APPROVED,4,1472
yonaskolb,erneestoc,MERGE,5,1471
yonaskolb,erneestoc,COMMENTED,4,1471
yonaskolb,erneestoc,APPROVED,4,1471
yonaskolb,tatsuky,MERGE,5,1470
freddi-kit,tatsuky,COMMENTED,4,1470
giginet,tatsuky,APPROVED,4,1470
giginet,tatsuky,APPROVED,4,1470
FelixLisczyk,tatsuky,APPROVED,4,1470
yonaskolb,tatsuky,APPROVED,4,1470
yonaskolb,erneestoc,MERGE,5,1468
yonaskolb,erneestoc,COMMENTED,4,1468
yonaskolb,erneestoc,APPROVED,4,1468
